NR_SECAO;NM_LOCAL_VOTACAO
216;PRÉDIO MUNICIPAL CLERALDO ANDRADE
191;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
161;PRÉDIO ESCOLAR HILDÉRICO PINHEIRO DE OLIVEIRA
138;MERCADO MUNICIPAL ALEXANDRE A. PEIXOTO
213;ESCOLA ESTADUAL KLEBER PACHECO
224;PRÉDIO MUNICIPAL MENINO JESUS DE PRAGA
164;COLÉGIO POLIVALENTE DE MARAGOGIPE
253;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE
260;ESCOLA MUNICIPAL SANTO ANTÔNIO
222;ESCOLA PRÉDIO MUNICIPAL NOSSA SENHORA DA PIEDADE
217;PRÉDIO MUNICIPAL CLERALDO ANDRADE
136;PRÉDIO ESCOLAR PROFA. ADJOVITA MARQUES
158;PRÉDIO ESCOLAR HILDÉRICO PINHEIRO DE OLIVEIRA
236;PRÉDIO ESCOLAR MONSENHOR FLORISVALDO JOSÉ DE SOUZA
167;COLÉGIO POLIVALENTE DE MARAGOGIPE
176;COLÉGIO CATARINA PARAGUAÇU
229;PRÉDIO MUNICIPAL CORAÇÃO DE JESUS
218;PRÉDIO MUNICIPAL CLERALDO ANDRADE
131;ESCOLA ESTADUAL LUÍS EDUARDO MAGALHÃES
205;PRÉDIO MUNICIPAL DESEMBARGADOR OSCAR DANTAS
196;ESCOLA PE. JULIAN EDWARD JOSEF CLAES
159;PRÉDIO ESCOLAR HILDÉRICO PINHEIRO DE OLIVEIRA
219;PRÉDIO MUNICIPAL CLERALDO ANDRADE
220;ESCOLA PRÉDIO MUNICIPAL NOSSA SENHORA DA PIEDADE
135;PRÉDIO ESCOLAR PROFA. ADJOVITA MARQUES
257;PRÉDIO MUNICIPAL CAMARÃO
151;COLÉGIO PLINIO PEREIRA
252;FUNDAC - FUNDAÇÃO DE APOIO A CRIANÇA E O ADOLESCENTE
190;PRÉDIO ESCOLAR MUNICIPAL SANTA RITA
